State,County,Candidate,Party,Incumbent,Votes,Percentage,Winner,Delegates
Alabama,Henry,Dean Phillips,Democratic,No,17,3.5%,No,0
Alabama,Henry,Uncommitted,Democratic,No,16,3.3%,No,0
Alabama,Houston,Joe Biden,Democratic,Yes,1467,92.0%,Yes,52
Alabama,Houston,Uncommitted,Democratic,No,70,4.4%,No,0
Alabama,Houston,Dean Phillips,Democratic,No,57,3.6%,No,0
Alabama,Jackson,Joe Biden,Democratic,Yes,366,86.9%,Yes,52
Alabama,Jackson,Uncommitted,Democratic,No,35,8.3%,No,0
Alabama,Jackson,Dean Phillips,Democratic,No,20,4.8%,No,0
Alabama,Jefferson,Joe Biden,Democratic,Yes,39854,92.0%,Yes,52
Alabama,Jefferson,Uncommitted,Democratic,No,2173,5.0%,No,0
Alabama,Jefferson,Dean Phillips,Democratic,No,1315,3.0%,No,0
Alabama,Lamar,Joe Biden,Democratic,Yes,131,91.6%,Yes,52
Alabama,Lamar,Dean Phillips,Democratic,No,6,4.2%,No,0
Alabama,Lamar,Uncommitted,Democratic,No,6,4.2%,No,0
Alabama,Lauderdale,Joe Biden,Democratic,Yes,1322,88.3%,Yes,52
Alabama,Lauderdale,Uncommitted,Democratic,No,103,6.9%,No,0
Alabama,Lauderdale,Dean Phillips,Democratic,No,72,4.8%,No,0
Alabama,Lawrence,Joe Biden,Democratic,Yes,540,92.1%,Yes,52
Alabama,Lawrence,Dean Phillips,Democratic,No,25,4.3%,No,0
Alabama,Lawrence,Uncommitted,Democratic,No,21,3.6%,No,0
Alabama,Lee,Joe Biden,Democratic,Yes,3066,90.1%,Yes,52
Alabama,Lee,Uncommitted,Democratic,No,184,5.4%,No,0
Alabama,Lee,Dean Phillips,Democratic,No,152,4.5%,No,0
Alabama,Limestone,Joe Biden,Democratic,Yes,1601,89.0%,Yes,52
Alabama,Limestone,Uncommitted,Democratic,No,128,7.1%,No,0
Alabama,Limestone,Dean Phillips,Democratic,No,70,3.9%,No,0
Alabama,Lowndes,Joe Biden,Democratic,Yes,1535,87.3%,Yes,52
Alabama,Lowndes,Uncommitted,Democratic,No,134,7.6%,No,0
Alabama,Lowndes,Dean Phillips,Democratic,No,89,5.1%,No,0
Alabama,Macon,Joe Biden,Democratic,Yes,2976,88.5%,Yes,52
Alabama,Macon,Uncommitted,Democratic,No,211,6.3%,No,0
Alabama,Macon,Dean Phillips,Democratic,No,177,5.2%,No,0
Alabama,Madison,Joe Biden,Democratic,Yes,10734,89.3%,Yes,52
Alabama,Madison,Uncommitted,Democratic,No,820,6.8%,No,0
Alabama,Madison,Dean Phillips,Democratic,No,462,3.8%,No,0
Alabama,Marengo,Joe Biden,Democratic,Yes,2255,66.2%,Yes,52
Alabama,Marengo,Uncommitted,Democratic,No,791,23.2%,No,0
Alabama,Marengo,Dean Phillips,Democratic,No,362,10.6%,No,0
Alabama,Marion,Joe Biden,Democratic,Yes,122,78.2%,Yes,52
Alabama,Marion,Uncommitted,Democratic,No,22,14.1%,No,0
Alabama,Marion,Dean Phillips,Democratic,No,12,7.7%,No,0
Alabama,Marshall,Joe Biden,Democratic,Yes,485,82.8%,Yes,52
Alabama,Marshall,Uncommitted,Democratic,No,66,11.2%,No,0
Alabama,Marshall,Dean Phillips,Democratic,No,35,6.0%,No,0
Alabama,Mobile,Joe Biden,Democratic,Yes,19252,89.2%,Yes,52
Alabama,Mobile,Uncommitted,Democratic,No,1318,6.1%,No,0
Alabama,Mobile,Dean Phillips,Democratic,No,1017,4.7%,No,0
Alabama,Monroe,Joe Biden,Democratic,Yes,1490,91.8%,Yes,52
Alabama,Monroe,Dean Phillips,Democratic,No,85,5.2%,No,0
Alabama,Monroe,Uncommitted,Democratic,No,48,3.0%,No,0
Alabama,Montgomery,Joe Biden,Democratic,Yes,20532,90.3%,Yes,52
Alabama,Montgomery,Uncommitted,Democratic,No,1170,5.1%,No,0
Alabama,Montgomery,Dean Phillips,Democratic,No,1034,4.5%,No,0
Alabama,Morgan,Joe Biden,Democratic,Yes,1374,89.3%,Yes,52
Alabama,Morgan,Uncommitted,Democratic,No,92,6.0%,No,0
Alabama,Morgan,Dean Phillips,Democratic,No,72,4.7%,No,0
Alabama,Perry,Joe Biden,Democratic,Yes,1933,88.5%,Yes,52
Alabama,Perry,Dean Phillips,Democratic,No,129,5.9%,No,0
Alabama,Perry,Uncommitted,Democratic,No,121,5.5%,No,0
Alabama,Pickens,Joe Biden,Democratic,Yes,1421,90.7%,Yes,52
Alabama,Pickens,Dean Phillips,Democratic,No,86,5.5%,No,0
Alabama,Pickens,Uncommitted,Democratic,No,59,3.8%,No,0
Alabama,Pike,Joe Biden,Democratic,Yes,1522,89.3%,Yes,52
Alabama,Pike,Dean Phillips,Democratic,No,104,6.1%,No,0
Alabama,Pike,Uncommitted,Democratic,No,79,4.6%,No,0
Alabama,Randolph,Joe Biden,Democratic,Yes,248,87.9%,Yes,52
Alabama,Randolph,Dean Phillips,Democratic,No,18,6.4%,No,0
Alabama,Randolph,Uncommitted,Democratic,No,16,5.7%,No,0
Alabama,Russell,Joe Biden,Democratic,Yes,2356,92.7%,Yes,52
Alabama,Russell,Uncommitted,Democratic,No,98,3.9%,No,0
Alabama,Russell,Dean Phillips,Democratic,No,87,3.4%,No,0
Alabama,Shelby,Joe Biden,Democratic,Yes,4166,89.0%,Yes,52
Alabama,Shelby,Uncommitted,Democratic,No,299,6.4%,No,0
Alabama,Shelby,Dean Phillips,Democratic,No,217,4.6%,No,0
Alabama,St. Clair,Joe Biden,Democratic,Yes,854,87.4%,Yes,52
Alabama,St. Clair,Uncommitted,Democratic,No,76,7.8%,No,0
Alabama,St. Clair,Dean Phillips,Democratic,No,47,4.8%,No,0
Alabama,Sumter,Joe Biden,Democratic,Yes,1575,83.9%,Yes,52
Alabama,Sumter,Uncommitted,Democratic,No,190,10.1%,No,0
Alabama,Sumter,Dean Phillips,Democratic,No,112,6.0%,No,0
Alabama,Talladega,Joe Biden,Democratic,Yes,2097,93.5%,Yes,52
Alabama,Talladega,Dean Phillips,Democratic,No,81,3.6%,No,0
Alabama,Talladega,Uncommitted,Democratic,No,64,2.9%,No,0
Alabama,Tallapoosa,Joe Biden,Democratic,Yes,895,92.9%,Yes,52
Alabama,Tallapoosa,Dean Phillips,Democratic,No,40,4.2%,No,0
Alabama,Tallapoosa,Uncommitted,Democratic,No,28,2.9%,No,0
Alabama,Tuscaloosa,Joe Biden,Democratic,Yes,6157,92.1%,Yes,52
Alabama,Tuscaloosa,Uncommitted,Democratic,No,322,4.8%,No,0
Alabama,Tuscaloosa,Dean Phillips,Democratic,No,204,3.1%,No,0
Alabama,Walker,Joe Biden,Democratic,Yes,494,85.3%,Yes,52
Alabama,Walker,Uncommitted,Democratic,No,56,9.7%,No,0
Alabama,Walker,Dean Phillips,Democratic,No,29,5.0%,No,0
Alabama,Washington,Joe Biden,Democratic,Yes,675,90.8%,Yes,52
Alabama,Washington,Dean Phillips,Democratic,No,35,4.7%,No,0
Alabama,Washington,Uncommitted,Democratic,No,33,4.4%,No,0
Alabama,Wilcox,Joe Biden,Democratic,Yes,2074,84.0%,Yes,52
Alabama,Wilcox,Dean Phillips,Democratic,No,205,8.3%,No,0
Alabama,Wilcox,Uncommitted,Democratic,No,191,7.7%,No,0
Alabama,Winston,Joe Biden,Democratic,Yes,65,79.3%,Yes,52
Alabama,Winston,Uncommitted,Democratic,No,10,12.2%,No,0
Alabama,Winston,Dean Phillips,Democratic,No,7,8.5%,No,0
Arkansas,Arkansas County,Joe Biden,Democratic,Yes,342,88.8%,Yes,31
Arkansas,Arkansas County,Marianne Williamson,Democratic,No,18,4.7%,No,0
Arkansas,Arkansas County,Dean Phillips,Democratic,No,16,4.2%,No,0
Arkansas,Ashley,Joe Biden,Democratic,Yes,334,91.0%,Yes,31
Arkansas,Ashley,Dean Phillips,Democratic,No,14,3.8%,No,0
Arkansas,Ashley,Marianne Williamson,Democratic,No,7,1.9%,No,0
Arkansas,Baxter,Joe Biden,Democratic,Yes,535,91.8%,Yes,31
Arkansas,Baxter,Marianne Williamson,Democratic,No,24,4.1%,No,0
Arkansas,Baxter,Dean Phillips,Democratic,No,12,2.1%,No,0
Arkansas,Benton,Joe Biden,Democratic,Yes,3951,87.0%,Yes,31
Arkansas,Benton,Marianne Williamson,Democratic,No,276,6.1%,No,0
Arkansas,Benton,Dean Phillips,Democratic,No,150,3.3%,No,0
Arkansas,Boone,Joe Biden,Democratic,Yes,365,88.6%,Yes,31
Arkansas,Boone,Marianne Williamson,Democratic,No,21,5.1%,No,0
Arkansas,Boone,Dean Phillips,Democratic,No,11,2.6%,No,0
Arkansas,Bradley,Joe Biden,Democratic,Yes,164,88.2%,Yes,31
Arkansas,Bradley,Dean Phillips,Democratic,No,6,3.2%,No,0
Arkansas,Bradley,Marianne Williamson,Democratic,No,5,2.7%,No,0
Arkansas,Calhoun,Joe Biden,Democratic,Yes,123,77.4%,Yes,31
Arkansas,Calhoun,Dean Phillips,Democratic,No,12,7.5%,No,0
Arkansas,Calhoun,Marianne Williamson,Democratic,No,6,3.8%,No,0
Arkansas,Carroll,Joe Biden,Democratic,Yes,621,90.9%,Yes,31
Arkansas,Carroll,Marianne Williamson,Democratic,No,33,4.8%,No,0
Arkansas,Carroll,Dean Phillips,Democratic,No,15,2.2%,No,0
Arkansas,Chicot,Joe Biden,Democratic,Yes,337,88.9%,Yes,31
Arkansas,Chicot,Marianne Williamson,Democratic,No,11,2.9%,No,0
Arkansas,Chicot,Dean Phillips,Democratic,No,10,2.6%,No,0
Arkansas,Clark,Joe Biden,Democratic,Yes,875,88.8%,Yes,31
Arkansas,Clark,Marianne Williamson,Democratic,No,55,5.6%,No,0
Arkansas,Clark,Dean Phillips,Democratic,No,24,2.4%,No,0
Arkansas,Clay,Joe Biden,Democratic,Yes,193,81.8%,Yes,31
Arkansas,Clay,Marianne Williamson,Democratic,No,18,7.6%,No,0
Arkansas,Clay,Dean Phillips,Democratic,No,10,4.2%,No,0
Arkansas,Cleburne,Joe Biden,Democratic,Yes,225,91.5%,Yes,31
Arkansas,Cleburne,Dean Phillips,Democratic,No,5,2.0%,No,0
Arkansas,Cleburne,Marianne Williamson,Democratic,No,4,1.6%,No,0
Arkansas,Cleveland,Joe Biden,Democratic,Yes,92,79.3%,Yes,31
Arkansas,Cleveland,Dean Phillips,Democratic,No,8,6.9%,No,0
Arkansas,Cleveland,Marianne Williamson,Democratic,No,6,5.2%,No,0
Arkansas,Columbia,Joe Biden,Democratic,Yes,277,89.9%,Yes,31
Arkansas,Columbia,Marianne Williamson,Democratic,No,16,5.2%,No,0
Arkansas,Columbia,Dean Phillips,Democratic,No,9,2.9%,No,0
Arkansas,Conway,Joe Biden,Democratic,Yes,540,88.7%,Yes,31
Arkansas,Conway,Marianne Williamson,Democratic,No,24,3.9%,No,0
Arkansas,Conway,Dean Phillips,Democratic,No,20,3.3%,No,0
Arkansas,Craighead,Joe Biden,Democratic,Yes,1255,88.6%,Yes,31
Arkansas,Craighead,Marianne Williamson,Democratic,No,66,4.6%,No,0
Arkansas,Craighead,Dean Phillips,Democratic,No,57,4.0%,No,0
Arkansas,Crawford,Joe Biden,Democratic,Yes,647,84.2%,Yes,31
Arkansas,Crawford,Marianne Williamson,Democratic,No,52,6.8%,No,0
Arkansas,Crawford,Dean Phillips,Democratic,No,35,4.5%,No,0
Arkansas,Crittenden,Joe Biden,Democratic,Yes,1806,83.6%,Yes,31
Arkansas,Crittenden,Marianne Williamson,Democratic,No,110,5.1%,No,0
Arkansas,Crittenden,Dean Phillips,Democratic,No,98,4.5%,No,0
Arkansas,Cross,Joe Biden,Democratic,Yes,352,82.6%,Yes,31
Arkansas,Cross,Marianne Williamson,Democratic,No,24,5.6%,No,0
Arkansas,Cross,Dean Phillips,Democratic,No,17,4.0%,No,0
Arkansas,Dallas,Joe Biden,Democratic,Yes,182,75.5%,Yes,31
Arkansas,Dallas,Dean Phillips,Democratic,No,25,10.4%,No,0
Arkansas,Dallas,Marianne Williamson,Democratic,No,10,4.1%,No,0
Arkansas,Desha,Joe Biden,Democratic,Yes,308,87.3%,Yes,31
Arkansas,Desha,Dean Phillips,Democratic,No,16,4.5%,No,0
Arkansas,Desha,Marianne Williamson,Democratic,No,13,3.7%,No,0
Arkansas,Drew,Joe Biden,Democratic,Yes,440,91.3%,Yes,31
Arkansas,Drew,Marianne Williamson,Democratic,No,14,2.9%,No,0
Arkansas,Drew,Dean Phillips,Democratic,No,9,1.9%,No,0
Arkansas,Faulkner,Joe Biden,Democratic,Yes,3130,89.0%,Yes,31
Arkansas,Faulkner,Marianne Williamson,Democratic,No,169,4.8%,No,0
Arkansas,Faulkner,Dean Phillips,Democratic,No,88,2.5%,No,0
Arkansas,Franklin,Joe Biden,Democratic,Yes,200,84.4%,Yes,31
Arkansas,Franklin,Marianne Williamson,Democratic,No,16,6.7%,No,0
Arkansas,Franklin,Dean Phillips,Democratic,No,8,3.4%,No,0
Arkansas,Fulton,Joe Biden,Democratic,Yes,123,87.9%,Yes,31
Arkansas,Fulton,Dean Phillips,Democratic,No,7,5.0%,No,0
Arkansas,Fulton,Marianne Williamson,Democratic,No,5,3.6%,No,0
Arkansas,Garland,Joe Biden,Democratic,Yes,2279,91.5%,Yes,31
Arkansas,Garland,Marianne Williamson,Democratic,No,81,3.2%,No,0
Arkansas,Garland,Dean Phillips,Democratic,No,55,2.2%,No,0
Arkansas,Grant,Joe Biden,Democratic,Yes,164,86.8%,Yes,31
Arkansas,Grant,Marianne Williamson,Democratic,No,6,3.2%,No,0
Arkansas,Grant,Dean Phillips,Democratic,No,4,2.1%,No,0
Arkansas,Greene,Joe Biden,Democratic,Yes,525,84.7%,Yes,31
Arkansas,Greene,Marianne Williamson,Democratic,No,39,6.3%,No,0
Arkansas,Greene,Dean Phillips,Democratic,No,32,5.1%,No,0
Arkansas,Hempstead,Joe Biden,Democratic,Yes,419,84.0%,Yes,31
Arkansas,Hempstead,Marianne Williamson,Democratic,No,36,7.2%,No,0
Arkansas,Hempstead,Dean Phillips,Democratic,No,20,4.0%,No,0
Arkansas,Hot Spring,Joe Biden,Democratic,Yes,441,87.8%,Yes,31
Arkansas,Hot Spring,Marianne Williamson,Democratic,No,17,3.4%,No,0
Arkansas,Hot Spring,Dean Phillips,Democratic,No,14,2.8%,No,0
Arkansas,Howard,Joe Biden,Democratic,Yes,221,84.0%,Yes,31
Arkansas,Howard,Marianne Williamson,Democratic,No,16,6.1%,No,0
Arkansas,Howard,Dean Phillips,Democratic,No,12,4.6%,No,0
Arkansas,Independence,Joe Biden,Democratic,Yes,315,88.2%,Yes,31
Arkansas,Independence,Marianne Williamson,Democratic,No,14,3.9%,No,0
Arkansas,Independence,Dean Phillips,Democratic,No,11,3.1%,No,0
Arkansas,Izard,Joe Biden,Democratic,Yes,132,87.4%,Yes,31
Arkansas,Izard,Marianne Williamson,Democratic,No,7,4.6%,No,0
Arkansas,Izard,Dean Phillips,Democratic,No,5,3.3%,No,0
Arkansas,Jackson,Joe Biden,Democratic,Yes,236,88.7%,Yes,31
Arkansas,Jackson,Dean Phillips,Democratic,No,17,6.4%,No,0
Arkansas,Jackson,Marianne Williamson,Democratic,No,13,4.9%,No,0
Arkansas,Jefferson,Joe Biden,Democratic,Yes,5499,87.0%,Yes,31
Arkansas,Jefferson,Marianne Williamson,Democratic,No,297,4.7%,No,0
Arkansas,Jefferson,Dean Phillips,Democratic,No,163,2.6%,No,0
Arkansas,Johnson,Joe Biden,Democratic,Yes,302,86.5%,Yes,31
Arkansas,Johnson,Marianne Williamson,Democratic,No,19,5.4%,No,0
Arkansas,Johnson,Dean Phillips,Democratic,No,12,3.4%,No,0
Arkansas,Lafayette,Joe Biden,Democratic,Yes,143,88.3%,Yes,31
Arkansas,Lafayette,Marianne Williamson,Democratic,No,6,3.7%,No,0
Arkansas,Lafayette,Dean Phillips,Democratic,No,3,1.8%,No,0
Arkansas,Lawrence,Joe Biden,Democratic,Yes,149,83.7%,Yes,31
Arkansas,Lawrence,Marianne Williamson,Democratic,No,9,5.0%,No,0
Arkansas,Lawrence,Dean Phillips,Democratic,No,8,4.5%,No,0
Arkansas,Lee,Joe Biden,Democratic,Yes,649,70.8%,Yes,31
Arkansas,Lee,Dean Phillips,Democratic,No,90,9.8%,No,0
Arkansas,Lee,Marianne Williamson,Democratic,No,65,7.1%,No,0
Arkansas,Lincoln,Joe Biden,Democratic,Yes,161,94.1%,Yes,31
Arkansas,Lincoln,Dean Phillips,Democratic,No,4,2.3%,No,0
Arkansas,Lincoln,Marianne Williamson,Democratic,No,2,1.2%,No,0
Arkansas,Little River,Joe Biden,Democratic,Yes,244,91.7%,Yes,31
Arkansas,Little River,Marianne Williamson,Democratic,No,6,2.2%,No,0
Arkansas,Little River,Dean Phillips,Democratic,No,5,1.9%,No,0
Arkansas,Logan,Joe Biden,Democratic,Yes,226,84.6%,Yes,31
Arkansas,Logan,Dean Phillips,Democratic,No,15,5.6%,No,0
Arkansas,Logan,Marianne Williamson,Democratic,No,12,4.5%,No,0
Arkansas,Lonoke,Joe Biden,Democratic,Yes,691,88.5%,Yes,31
Arkansas,Lonoke,Dean Phillips,Democratic,No,34,4.4%,No,0
Arkansas,Lonoke,Marianne Williamson,Democratic,No,33,4.2%,No,0
Arkansas,Madison,Joe Biden,Democratic,Yes,179,84.8%,Yes,31
Arkansas,Madison,Dean Phillips,Democratic,No,14,6.6%,No,0
Arkansas,Madison,Marianne Williamson,Democratic,No,10,4.7%,No,0
Arkansas,Marion,Joe Biden,Democratic,Yes,160,89.4%,Yes,31
Arkansas,Marion,Dean Phillips,Democratic,No,7,3.9%,No,0
Arkansas,Marion,Marianne Williamson,Democratic,No,7,3.9%,No,0
Arkansas,Miller,Joe Biden,Democratic,Yes,727,90.4%,Yes,31
Arkansas,Miller,Marianne Williamson,Democratic,No,36,4.5%,No,0
Arkansas,Miller,Dean Phillips,Democratic,No,14,1.7%,No,0
Arkansas,Mississippi,Joe Biden,Democratic,Yes,587,86.3%,Yes,31
Arkansas,Mississippi,Dean Phillips,Democratic,No,29,4.3%,No,0
Arkansas,Mississippi,Marianne Williamson,Democratic,No,25,3.7%,No,0
Arkansas,Monroe,Joe Biden,Democratic,Yes,300,80.8%,Yes,31
Arkansas,Monroe,Dean Phillips,Democratic,No,13,3.5%,No,0
Arkansas,Monroe,Marianne Williamson,Democratic,No,13,3.5%,No,0
Arkansas,Montgomery,Joe Biden,Democratic,Yes,91,85.0%,Yes,31
Arkansas,Montgomery,Marianne Williamson,Democratic,No,7,6.5%,No,0
Arkansas,Montgomery,Dean Phillips,Democratic,No,4,3.7%,No,0
Arkansas,Nevada,Joe Biden,Democratic,Yes,243,79.2%,Yes,31
Arkansas,Nevada,Dean Phillips,Democratic,No,25,8.1%,No,0
Arkansas,Nevada,Marianne Williamson,Democratic,No,15,4.9%,No,0
Arkansas,Newton,Joe Biden,Democratic,Yes,77,84.6%,Yes,31
Arkansas,Newton,Dean Phillips,Democratic,No,5,5.5%,No,0
Arkansas,Newton,Marianne Williamson,Democratic,No,5,5.5%,No,0
Arkansas,Ouachita,Joe Biden,Democratic,Yes,752,92.8%,Yes,31
Arkansas,Ouachita,Dean Phillips,Democratic,No,21,2.6%,No,0
Arkansas,Ouachita,Marianne Williamson,Democratic,No,17,2.1%,No,0
Arkansas,Perry,Joe Biden,Democratic,Yes,245,83.6%,Yes,31
Arkansas,Perry,Dean Phillips,Democratic,No,21,7.2%,No,0
Arkansas,Perry,Marianne Williamson,Democratic,No,11,3.8%,No,0
Arkansas,Phillips,Joe Biden,Democratic,Yes,1142,75.0%,Yes,31
Arkansas,Phillips,Dean Phillips,Democratic,No,137,9.0%,No,0
Arkansas,Phillips,Marianne Williamson,Democratic,No,121,7.9%,No,0
Arkansas,Pike,Joe Biden,Democratic,Yes,94,92.1%,Yes,31
Arkansas,Pike,Marianne Williamson,Democratic,No,3,2.9%,No,0
Arkansas,Pike,Dean Phillips,Democratic,No,2,2.0%,No,0
Arkansas,Poinsett,Joe Biden,Democratic,Yes,151,77.8%,Yes,31
Arkansas,Poinsett,Dean Phillips,Democratic,No,12,6.2%,No,0
Arkansas,Poinsett,Marianne Williamson,Democratic,No,12,6.2%,No,0
Arkansas,Polk,Joe Biden,Democratic,Yes,138,85.7%,Yes,31
